,0,1,2,3,4
0,30.0,130.0,30.0,10.0,30.0
1,10.0,10.0,10.0,30.0,10.0
2,50.0,10.0,10.0,10.0,250.0
3,10.0,130.0,110.0,10.0,10.0
4,10.0,10.0,50.0,150.0,110.0
5,10.0,10.0,210.0,10.0,10.0
6,10.0,10.0,10.0,50.0,10.0
7,10.0,50.0,10.0,10.0,30.0
8,250.0,10.0,10.0,30.0,110.0
9,270.0,50.0,10.0,10.0,10.0
10,50.0,10.0,10.0,50.0,30.0
11,50.0,10.0,10.0,10.0,230.0
12,50.0,30.0,50.0,10.0,10.0
13,10.0,30.0,10.0,10.0,10.0
14,10.0,110.0,50.0,10.0,10.0
15,10.0,10.0,10.0,110.0,250.0
16,10.0,30.0,270.0,10.0,110.0
17,50.0,50.0,30.0,10.0,10.0
18,70.0,10.0,30.0,10.0,10.0
19,10.0,210.0,30.0,10.0,10.0
